# Restaurant: Taj Mahal Indian Food
# Address: Via Capo di Lucca, 2, Bologna, 40126
Piatti di Carne;Ginga Biriyani;riso con gamberetti e salse;7.0
Piatti di Carne;Murg Panir;pollo con formaggio e pane;7.0
Piatti di Carne;Achar Gosht;carne di agnello con salsa indiana piccante e pane;7.5
Specialità di Carne;Kebab Curry con Pane;;6.5
Specialità di Carne;Kebab Curry con Riso;;7.5
Specialità di Carne;Spinaci con Pollo e Pane;;7.0
Specialità di Carne;Spinaci con Pollo e Riso;;7.5
Specialità di Carne;Spinaci con Agnello e Riso;;8.0
Specialità di Carne;Agnello, Ceci e Riso;;8.5
Specialità di Carne;Pollo con Ceci e Riso;;8.0
Specialità di Carne;Pollo, Lenticchie e Pane;;7.5
Specialità di Carne;Pollo, Lenticchie e Riso;;8.0
Specialità di Carne;Lenticchie, Agnello e Pane;;7.5
Specialità di Carne;Lenticchie, Agnello e Riso;;8.5
Specialità di Carne;Queema Mater;carne macinata di manzo con piselli e spezie con pane;6.0
Specialità di Carne;Murg Vindaloo;pollo con salsa vindaloo molto piccante e pane;7.0
Specialità di Carne;Motton Vindaloo;agnello con salsa vindaloo molto piccante e pane;7.5
Piatti Vegetariani;Dal Nan;lenticchie con pane indiano;5.5
Piatti Vegetariani;Dal Chawal;lenticchie, riso basmati e salsa;6.5
Piatti Vegetariani;Chana Masala;ceci con salsa e pane;5.5
Piatti Vegetariani;Sabzi Nan;verdure e pane;5.0
Piatti Vegetariani;Sabzi Biryani;riso basmati con verdure miste e salsa indiana;5.5
Piatti Vegetariani;Plain Rice;riso basmati bianco;3.0
Piatti Vegetariani;Sabzi Kofta;polpette di verdure e pane;5.5
Piatti Vegetariani;Palak Panir;spinaci con formaggio e pane;6.0
Piatti Vegetariani;Mix Plate Vegetariano;piatto unico vegetariano con riso basmati, verdure, lenticchie e pane;9.0
Piatti Vegetariani;Piselli, Formaggio e Spezie con Pane;;6.0
Piatti Vegetariani;Chana Masala;ceci con salsa e riso;6.5
Pani Indiani;Nan;pane indiano di farina bianca;1.2
Pani Indiani;Chapati;pane indiano di farina integrale;1.2
Pani Indiani;Pratha;pane con burro;2.0
Pani Indiani;Nan Panir;pane ripieno con formaggio indiano;2.5
Pani Indiani;Sabzi Pratha;pane ripieno con verdure miste;2.0
Pani Indiani;Roghni Nan;pane con semi di sesamo;2.0
Pani Indiani;Lehsan Nan;pane con aglio;2.0
Pani Indiani;Afghani Pratha;pane ripieno con cipolla e spezie;2.0
Pani Indiani;Aloo Nan;pane ripieno con patate e spezie;2.0
Pani Indiani;Kashmiri Nan;pane ripieno con frutta secca;2.0
Pani Indiani;Kima Nan;pane ripieno con carne macinata;4.0
Dolci;Kheer;riso, latte e pistacchio;3.0
Bevande;Acqua Naturale;;1.0
Bevande;Acqua Frizzante;;1.0
Bevande;Bibita in Lattina;;1.5
Bevande;Bibita 1,5L;;3.0
Bevande;Bibita Lassi;bevanda indiana a base di yogurt frullato;1.5
Bevande;Bibita Mango Lassi;bevanda indiana a base di yogurt al mango frullato;2.0
